ID,Subject,Noise,Seed,Best_Model,FracError_IVIM,NRMSE_IVIM,Frac_NRMSE_Ratio_IVIM,Dpar_FracError,Dpar_NRMSE,Dpar_Frac_NRMSE_Ratio,Dint_FracError,Dint_NRMSE,Dint_Frac_NRMSE_Ratio,Dmv_FracError,Dmv_NRMSE,Dmv_Frac_NRMSE_Ratio,fint_FracError,fint_NRMSE,fint_Frac_NRMSE_Ratio,fmv_FracError,fmv_NRMSE,fmv_Frac_NRMSE_Ratio
S1_signal_nonoise_seed24,S1_signal,nonoise,24,ORIGINALOFF_WT1_IR1_FP1_BT1_ABLREMOVE_FINT,1.314176188,0.6464682496627935,2.635005288843103,0.2323297,0.1920916729317316,1.2094729603645753,0.407806,0.4425616273057042,0.9214671464451571,0.85547954,1.0797800181645558,0.7922720518315898,1.242266,1.097624612897684,1.1317767777860912,3.8329997,0.4202833170142915,9.1200375077881
S1_signal_IR_nonoise_seed24,S1_signal_IR,nonoise,24,ORIGINALOFF_WT1_IR1_FP1_BT0_ABLREMOVE_FTOTAL,2.2037401279999997,0.8054715610841507,2.169431837802814,0.3415467,0.3281210968519477,1.0409166224713116,0.3542359,0.3785582027541309,0.9357501055129342,0.83706784,1.0661546194817657,0.78512799113427,1.5424422,1.0552900808078467,1.4616286232606264,7.943408,1.1992338055250629,6.623735846634927
NAWM_signal_nonoise_seed24,NAWM_signal,nonoise,24,ORIGINALON_IR,0.502765542,0.5518352670415361,0.9274759618236983,0.06572055,0.0661717359777603,0.9931814514613432,0.24137093,0.2722733966274339,0.8865020431393762,0.9178012,0.9181931777282044,0.9995730894218048,0.60451233,0.6096192630474114,0.9916227399571071,0.6844227,0.8929187618268706,0.7665004851388599
NAWM_signal_IR_nonoise_seed24,NAWM_signal_IR,nonoise,24,ORIGINALOFF_WT1_IR1_FP1_BT0_ABLREMOVE_FTOTAL,0.401020722,0.4267094058681491,0.9439922018117617,0.04259446,0.0446268993124329,0.9544568414908344,0.27246523,0.2725598729302876,0.999652722569271,0.91855514,0.918945040600749,0.9995756981277676,0.32300448,0.3318848126323008,0.9732427099701882,0.4484843,0.5655304038649751,0.7930330369007471
WMH_signal_nonoise_seed24,WMH_signal,nonoise,24,ORIGINALON_IR,0.32382306419999995,0.34805668078536456,0.8982063545518961,0.018519651,0.0216872587545446,0.853941146501544,0.16696484,0.1672690972529426,0.998180994753124,0.90053356,0.9019124968394648,0.9984710824045164,0.12072331,0.1474045934711527,0.8189927878090092,0.41237396,0.5020099576087179,0.8214457612912875
WMH_signal_IR_nonoise_seed24,WMH_signal_IR,nonoise,24,ORIGINALOFF_WT1_IR1_FP1_BT0_ABLREMOVE_FINT,0.3176005448,0.34382308265217754,0.8739424190352082,0.023691824,0.0304599707098742,0.7778016648037669,0.16655709,0.1677803640227804,0.9927090070241856,0.90056634,0.9019465432011718,0.9984697389180376,0.08539382,0.1072963088972386,0.7958690900201938,0.41179365,0.5116322264298228,0.8048625944098574
S1_signal_lownoise_seed24,S1_signal,lownoise,24,ORIGINALOFF_WT1_IR1_FP1_BT1_ABLNONE,1.3611247199999998,0.63788225427383,2.633798043273819,0.24999768,0.2201484594374308,1.135586706815177,0.37752852,0.425247149502185,0.8877861027462063,0.8557594,1.079742772340853,0.7925585576896951,1.5003873,1.0350050169279217,1.4496425350079372,3.8219507,0.4292678731607597,8.903416314110078
S1_signal_IR_lownoise_seed24,S1_signal_IR,lownoise,24,ORIGINALOFF_WT1_IR1_FP1_BT0_ABLREMOVE_FMV,2.414454692,0.8271501846885201,2.292932412761087,0.43467334,0.4564346976048191,0.9523231513428952,0.34455192,0.3754262796124761,0.9177618361422232,0.8398966,1.0666953412046971,0.7873819065315687,1.7179296,1.0071286201759702,1.705769799602606,8.735222,1.2300659848446385,7.10142537018614
NAWM_signal_lownoise_seed24,NAWM_signal,lownoise,24,ORIGINALOFF_WT1_IR0_FP1_BT0_ABLREMOVE_FINT,0.436133456,0.48276161109321303,0.8746689930856577,0.09743471,0.1180869815096567,0.8251095716837076,0.22812848,0.2633183100736907,0.8663600689354997,0.91854167,0.9189315971241396,0.9995756623501296,0.47288725,0.555155780985692,0.8518099882578991,0.46367517,0.5583153857728861,0.8304896742010528
NAWM_signal_IR_lownoise_seed24,NAWM_signal_IR,lownoise,24,ORIGINALOFF_WT1_IR1_FP1_BT0_ABLREMOVE_FMV,0.53624548,0.6174155767596785,0.8505454530683967,0.29331002,0.3569535140583668,0.8217036578288586,0.35429314,0.4328258583443721,0.8185581401222627,0.919337,0.9197352092831508,0.999567000747626,0.62263614,0.7441248917005429,0.8367360613385565,0.4916511,0.6334384104119603,0.7761624053046795
